     Scat angle      F11             F12            F22           F33             F43            F44
   0.710000E+00   0.167560E+01  -0.128892E-03   0.167282E+01   0.167282E+01   0.668736E-08   0.167004E+01
   0.720000E+00   0.167560E+01  -0.132036E-03   0.167281E+01   0.167281E+01   0.685046E-08   0.167003E+01
   0.730000E+00   0.167559E+01  -0.135179E-03   0.167281E+01   0.167281E+01   0.701355E-08   0.167003E+01
   0.740000E+00   0.167559E+01  -0.138323E-03   0.167281E+01   0.167281E+01   0.717665E-08   0.167003E+01
   0.750000E+00   0.167559E+01  -0.141466E-03   0.167280E+01   0.167280E+01   0.733974E-08   0.167002E+01
   0.760000E+00   0.167558E+01  -0.145867E-03   0.167280E+01   0.167280E+01   0.756808E-08   0.167002E+01
   0.770000E+00   0.167558E+01  -0.150268E-03   0.167279E+01   0.167279E+01   0.779643E-08   0.167001E+01
   0.780000E+00   0.167557E+01  -0.154669E-03   0.167279E+01   0.167279E+01   0.802477E-08   0.167001E+01
   0.790000E+00   0.167557E+01  -0.159070E-03   0.167278E+01   0.167278E+01   0.825311E-08   0.167000E+01
   0.800000E+00   0.167556E+01  -0.163471E-03   0.167278E+01   0.167278E+01   0.848145E-08   0.167000E+01
   0.810000E+00   0.167556E+01  -0.167872E-03   0.167277E+01   0.167277E+01   0.870979E-08   0.166999E+01
   0.820000E+00   0.167555E+01  -0.172272E-03   0.167277E+01   0.167277E+01   0.893813E-08   0.166999E+01
   0.830000E+00   0.167555E+01  -0.176673E-03   0.167276E+01   0.167276E+01   0.916646E-08   0.166998E+01
   0.840000E+00   0.167554E+01  -0.181074E-03   0.167276E+01   0.167276E+01   0.939479E-08   0.166998E+01
   0.850000E+00   0.167554E+01  -0.185475E-03   0.167275E+01   0.167275E+01   0.962313E-08   0.166997E+01
   0.860000E+00   0.167553E+01  -0.189875E-03   0.167275E+01   0.167275E+01   0.985146E-08   0.166997E+01
   0.870000E+00   0.167553E+01  -0.194276E-03   0.167274E+01   0.167274E+01   0.100798E-07   0.166996E+01
   0.880000E+00   0.167552E+01  -0.198677E-03   0.167274E+01   0.167274E+01   0.103081E-07   0.166996E+01
   0.890000E+00   0.167552E+01  -0.203077E-03   0.167273E+01   0.167273E+01   0.105364E-07   0.166995E+01
   0.900000E+00   0.167551E+01  -0.207478E-03   0.167273E+01   0.167273E+01   0.107648E-07   0.166995E+01
   0.910000E+00   0.167551E+01  -0.211878E-03   0.167272E+01   0.167272E+01   0.109931E-07   0.166994E+01
   0.920000E+00   0.167550E+01  -0.216279E-03   0.167272E+01   0.167272E+01   0.112214E-07   0.166994E+01
   0.930000E+00   0.167550E+01  -0.220680E-03   0.167271E+01   0.167271E+01   0.114497E-07   0.166994E+01
   0.940000E+00   0.167549E+01  -0.225080E-03   0.167271E+01   0.167271E+01   0.116781E-07   0.166993E+01
   0.950000E+00   0.167549E+01  -0.229481E-03   0.167270E+01   0.167270E+01   0.119064E-07   0.166992E+01
   0.960000E+00   0.167548E+01  -0.233881E-03   0.167270E+01   0.167270E+01   0.121347E-07   0.166992E+01
   0.970000E+00   0.167548E+01  -0.238281E-03   0.167269E+01   0.167269E+01   0.123630E-07   0.166992E+01
   0.980000E+00   0.167547E+01  -0.242682E-03   0.167269E+01   0.167269E+01   0.125913E-07   0.166991E+01
   0.990000E+00   0.167547E+01  -0.247082E-03   0.167268E+01   0.167268E+01   0.128196E-07   0.166991E+01
   0.100000E+01   0.167546E+01  -0.251482E-03   0.167268E+01   0.167268E+01   0.130480E-07   0.166990E+01
   0.101000E+01   0.167546E+01  -0.257140E-03   0.167267E+01   0.167267E+01   0.133415E-07   0.166989E+01
   0.102000E+01   0.167545E+01  -0.262798E-03   0.167267E+01   0.167267E+01   0.136351E-07   0.166989E+01
   0.103000E+01   0.167544E+01  -0.268456E-03   0.167266E+01   0.167266E+01   0.139286E-07   0.166988E+01
   0.104000E+01   0.167544E+01  -0.274114E-03   0.167265E+01   0.167265E+01   0.142222E-07   0.166988E+01
   0.105000E+01   0.167543E+01  -0.279771E-03   0.167265E+01   0.167265E+01   0.145158E-07   0.166987E+01
   0.106000E+01   0.167543E+01  -0.285429E-03   0.167264E+01   0.167264E+01   0.148093E-07   0.166986E+01
   0.107000E+01   0.167542E+01  -0.291086E-03   0.167263E+01   0.167263E+01   0.151029E-07   0.166986E+01
   0.108000E+01   0.167541E+01  -0.296744E-03   0.167263E+01   0.167263E+01   0.153964E-07   0.166985E+01
   0.109000E+01   0.167541E+01  -0.302401E-03   0.167262E+01   0.167262E+01   0.156900E-07   0.166984E+01
   0.110000E+01   0.167540E+01  -0.308059E-03   0.167261E+01   0.167261E+01   0.159835E-07   0.166984E+01
   0.111000E+01   0.167540E+01  -0.313716E-03   0.167261E+01   0.167261E+01   0.162771E-07   0.166983E+01
   0.112000E+01   0.167539E+01  -0.319374E-03   0.167260E+01   0.167260E+01   0.165706E-07   0.166983E+01
   0.113000E+01   0.167538E+01  -0.325031E-03   0.167260E+01   0.167260E+01   0.168642E-07   0.166982E+01
   0.114000E+01   0.167538E+01  -0.330688E-03   0.167259E+01   0.167259E+01   0.171577E-07   0.166981E+01
   0.115000E+01   0.167537E+01  -0.336345E-03   0.167258E+01   0.167258E+01   0.174512E-07   0.166981E+01
   0.116000E+01   0.167536E+01  -0.342003E-03   0.167258E+01   0.167258E+01   0.177448E-07   0.166980E+01
   0.117000E+01   0.167536E+01  -0.347660E-03   0.167257E+01   0.167257E+01   0.180383E-07   0.166979E+01
   0.118000E+01   0.167535E+01  -0.353317E-03   0.167256E+01   0.167256E+01   0.183318E-07   0.166979E+01
   0.119000E+01   0.167534E+01  -0.358974E-03   0.167256E+01   0.167256E+01   0.186254E-07   0.166978E+01
   0.120000E+01   0.167534E+01  -0.364631E-03   0.167255E+01   0.167255E+01   0.189189E-07   0.166978E+01
   0.121000E+01   0.167533E+01  -0.370288E-03   0.167255E+01   0.167255E+01   0.192124E-07   0.166977E+01
   0.122000E+01   0.167533E+01  -0.375945E-03   0.167254E+01   0.167254E+01   0.195059E-07   0.166976E+01
   0.123000E+01   0.167532E+01  -0.381602E-03   0.167253E+01   0.167253E+01   0.197995E-07   0.166976E+01
   0.124000E+01   0.167531E+01  -0.387259E-03   0.167253E+01   0.167253E+01   0.200930E-07   0.166975E+01
   0.125000E+01   0.167531E+01  -0.392916E-03   0.167252E+01   0.167252E+01   0.203865E-07   0.166974E+01
   0.126000E+01   0.167530E+01  -0.399830E-03   0.167251E+01   0.167251E+01   0.207453E-07   0.166974E+01
   0.127000E+01   0.167529E+01  -0.406744E-03   0.167250E+01   0.167250E+01   0.211040E-07   0.166973E+01
   0.128000E+01   0.167528E+01  -0.413658E-03   0.167250E+01   0.167250E+01   0.214628E-07   0.166972E+01
   0.129000E+01   0.167528E+01  -0.420572E-03   0.167249E+01   0.167249E+01   0.218216E-07   0.166971E+01
   0.130000E+01   0.167527E+01  -0.427486E-03   0.167248E+01   0.167248E+01   0.221803E-07   0.166971E+01
   0.131000E+01   0.167526E+01  -0.434400E-03   0.167247E+01   0.167247E+01   0.225391E-07   0.166970E+01
   0.132000E+01   0.167525E+01  -0.441314E-03   0.167247E+01   0.167247E+01   0.228978E-07   0.166969E+01
   0.133000E+01   0.167525E+01  -0.448228E-03   0.167246E+01   0.167246E+01   0.232566E-07   0.166968E+01
   0.134000E+01   0.167524E+01  -0.455142E-03   0.167245E+01   0.167245E+01   0.236153E-07   0.166967E+01
   0.135000E+01   0.167523E+01  -0.462055E-03   0.167244E+01   0.167244E+01   0.239741E-07   0.166967E+01
   0.136000E+01   0.167522E+01  -0.468969E-03   0.167244E+01   0.167244E+01   0.243328E-07   0.166966E+01
   0.137000E+01   0.167522E+01  -0.475883E-03   0.167243E+01   0.167243E+01   0.246916E-07   0.166965E+01
   0.138000E+01   0.167521E+01  -0.482796E-03   0.167242E+01   0.167242E+01   0.250503E-07   0.166964E+01
   0.139000E+01   0.167520E+01  -0.489709E-03   0.167241E+01   0.167241E+01   0.254090E-07   0.166964E+01
   0.140000E+01   0.167519E+01  -0.496623E-03   0.167240E+01   0.167240E+01   0.257677E-07   0.166963E+01
   0.141000E+01   0.167518E+01  -0.503536E-03   0.167240E+01   0.167240E+01   0.261265E-07   0.166962E+01
   0.142000E+01   0.167518E+01  -0.510449E-03   0.167239E+01   0.167239E+01   0.264852E-07   0.166961E+01
   0.143000E+01   0.167517E+01  -0.517362E-03   0.167238E+01   0.167238E+01   0.268439E-07   0.166960E+01
   0.144000E+01   0.167516E+01  -0.524276E-03   0.167237E+01   0.167237E+01   0.272026E-07   0.166960E+01
   0.145000E+01   0.167515E+01  -0.531189E-03   0.167237E+01   0.167237E+01   0.275613E-07   0.166959E+01
   0.146000E+01   0.167515E+01  -0.538102E-03   0.167236E+01   0.167236E+01   0.279200E-07   0.166958E+01
   0.147000E+01   0.167514E+01  -0.545014E-03   0.167235E+01   0.167235E+01   0.282788E-07   0.166957E+01
   0.148000E+01   0.167513E+01  -0.551927E-03   0.167234E+01   0.167234E+01   0.286375E-07   0.166957E+01
   0.149000E+01   0.167512E+01  -0.558840E-03   0.167234E+01   0.167234E+01   0.289962E-07   0.166956E+01
   0.150000E+01   0.167511E+01  -0.565753E-03   0.167233E+01   0.167233E+01   0.293548E-07   0.166955E+01
   0.151000E+01   0.167510E+01  -0.573923E-03   0.167232E+01   0.167232E+01   0.297788E-07   0.166954E+01
   0.152000E+01   0.167510E+01  -0.582093E-03   0.167231E+01   0.167231E+01   0.302028E-07   0.166953E+01
   0.153000E+01   0.167509E+01  -0.590263E-03   0.167230E+01   0.167230E+01   0.306267E-07   0.166952E+01
   0.154000E+01   0.167508E+01  -0.598433E-03   0.167229E+01   0.167229E+01   0.310507E-07   0.166951E+01
   0.155000E+01   0.167507E+01  -0.606603E-03   0.167228E+01   0.167228E+01   0.314746E-07   0.166951E+01
   0.156000E+01   0.167506E+01  -0.614772E-03   0.167227E+01   0.167227E+01   0.318986E-07   0.166950E+01
   0.157000E+01   0.167505E+01  -0.622942E-03   0.167226E+01   0.167226E+01   0.323225E-07   0.166949E+01
   0.158000E+01   0.167504E+01  -0.631111E-03   0.167225E+01   0.167225E+01   0.327464E-07   0.166948E+01
   0.159000E+01   0.167503E+01  -0.639281E-03   0.167225E+01   0.167225E+01   0.331703E-07   0.166947E+01
   0.160000E+01   0.167502E+01  -0.647450E-03   0.167224E+01   0.167224E+01   0.335943E-07   0.166946E+01
   0.161000E+01   0.167501E+01  -0.655619E-03   0.167223E+01   0.167223E+01   0.340182E-07   0.166945E+01
   0.162000E+01   0.167500E+01  -0.663789E-03   0.167222E+01   0.167222E+01   0.344421E-07   0.166944E+01
   0.163000E+01   0.167500E+01  -0.671958E-03   0.167221E+01   0.167221E+01   0.348660E-07   0.166943E+01
